Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),20000
Histo t1,Histo t2,Difference
11575.0,10507.0,1068.0
11576.0,10602.0,974.0
11654.0,10644.0,1010.0
11601.0,10592.0,1009.0
11533.0,10589.0,944.0
11773.0,10656.0,1117.0
11588.0,10513.0,1075.0
11528.0,10618.0,910.0
11630.0,10822.0,808.0
11566.0,10624.0,942.0
11504.0,10680.0,824.0
11750.0,10757.0,993.0
11629.0,10526.0,1103.0
11505.0,10562.0,943.0
11502.0,10716.0,786.0
11776.0,10827.0,949.0
11659.0,10639.0,1020.0
11866.0,10688.0,1178.0
15796.0,14658.0,1138.0
76972.0,69497.0,7475.0
69234.0,62508.0,6726.0
14113.0,13033.0,1080.0
11832.0,10920.0,912.0
11185.0,10304.0,881.0
11172.0,10224.0,948.0
11710.0,10440.0,1270.0
11171.0,10355.0,816.0
11178.0,10255.0,923.0
11536.0,10564.0,972.0
11302.0,10056.0,1246.0
11174.0,10269.0,905.0
11645.0,10519.0,1126.0
11222.0,10339.0,883.0
11146.0,10290.0,856.0
11442.0,10360.0,1082.0
11318.0,10164.0,1154.0
11112.0,10304.0,808.0
11360.0,10512.0,848.0
11341.0,10458.0,883.0
11004.0,10354.0,650.0
11362.0,10360.0,1002.0
11240.0,10493.0,747.0
11184.0,10335.0,849.0
11335.0,10189.0,1146.0
11452.0,10384.0,1068.0
11375.0,10107.0,1268.0
11273.0,10293.0,980.0
11261.0,10568.0,693.0
11368.0,10264.0,1104.0
11481.0,10246.0,1235.0
