Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),500
Histo t1,Histo t2,Difference
94.0,133.0,39.0
103.0,141.0,38.0
93.0,137.0,44.0
99.0,108.0,9.0
97.0,155.0,58.0
88.0,124.0,36.0
109.0,123.0,14.0
86.0,117.0,31.0
112.0,146.0,34.0
85.0,131.0,46.0
109.0,133.0,24.0
101.0,122.0,21.0
107.0,139.0,32.0
92.0,123.0,31.0
109.0,135.0,26.0
100.0,130.0,30.0
99.0,148.0,49.0
95.0,119.0,24.0
84.0,108.0,24.0
98.0,125.0,27.0
115.0,140.0,25.0
119.0,119.0,0.0
101.0,130.0,29.0
104.0,137.0,33.0
98.0,132.0,34.0
102.0,132.0,30.0
125.0,134.0,9.0
83.0,118.0,35.0
95.0,132.0,37.0
108.0,161.0,53.0
83.0,129.0,46.0
109.0,128.0,19.0
108.0,139.0,31.0
105.0,127.0,22.0
113.0,138.0,25.0
98.0,134.0,36.0
84.0,154.0,70.0
110.0,124.0,14.0
95.0,132.0,37.0
82.0,132.0,50.0
86.0,120.0,34.0
94.0,155.0,61.0
96.0,158.0,62.0
98.0,143.0,45.0
87.0,142.0,55.0
96.0,134.0,38.0
102.0,110.0,8.0
91.0,112.0,21.0
88.0,92.0,4.0
86.0,128.0,42.0
113.0,132.0,19.0
100.0,139.0,39.0
78.0,136.0,58.0
104.0,143.0,39.0
121.0,146.0,25.0
94.0,137.0,43.0
97.0,145.0,48.0
97.0,143.0,46.0
117.0,139.0,22.0
95.0,145.0,50.0
104.0,144.0,40.0
107.0,141.0,34.0
114.0,168.0,54.0
95.0,144.0,49.0
94.0,108.0,14.0
93.0,140.0,47.0
92.0,120.0,28.0
116.0,115.0,1.0
101.0,128.0,27.0
98.0,130.0,32.0
93.0,117.0,24.0
97.0,123.0,26.0
88.0,137.0,49.0
108.0,144.0,36.0
98.0,133.0,35.0
94.0,116.0,22.0
87.0,138.0,51.0
78.0,133.0,55.0
103.0,127.0,24.0
103.0,127.0,24.0
94.0,140.0,46.0
115.0,121.0,6.0
112.0,143.0,31.0
86.0,126.0,40.0
103.0,119.0,16.0
91.0,132.0,41.0
109.0,108.0,1.0
101.0,122.0,21.0
110.0,143.0,33.0
96.0,143.0,47.0
97.0,150.0,53.0
111.0,132.0,21.0
111.0,139.0,28.0
85.0,119.0,34.0
90.0,127.0,37.0
96.0,126.0,30.0
106.0,115.0,9.0
88.0,135.0,47.0
97.0,149.0,52.0
83.0,140.0,57.0
103.0,151.0,48.0
85.0,108.0,23.0
100.0,131.0,31.0
91.0,142.0,51.0
95.0,153.0,58.0
104.0,127.0,23.0
100.0,119.0,19.0
97.0,126.0,29.0
97.0,126.0,29.0
98.0,124.0,26.0
105.0,132.0,27.0
98.0,135.0,37.0
89.0,123.0,34.0
87.0,129.0,42.0
91.0,151.0,60.0
96.0,105.0,9.0
107.0,139.0,32.0
90.0,142.0,52.0
110.0,120.0,10.0
92.0,138.0,46.0
93.0,128.0,35.0
118.0,122.0,4.0
96.0,133.0,37.0
96.0,125.0,29.0
107.0,132.0,25.0
92.0,136.0,44.0
83.0,138.0,55.0
90.0,137.0,47.0
91.0,133.0,42.0
95.0,125.0,30.0
92.0,146.0,54.0
101.0,147.0,46.0
100.0,127.0,27.0
97.0,145.0,48.0
90.0,138.0,48.0
102.0,113.0,11.0
101.0,122.0,21.0
109.0,133.0,24.0
91.0,127.0,36.0
