Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),5000
Histo t1,Histo t2,Difference
1982.0,2257.0,275.0
2028.0,2206.0,178.0
2017.0,2228.0,211.0
2053.0,2265.0,212.0
2103.0,2284.0,181.0
2105.0,2282.0,177.0
2044.0,2296.0,252.0
2023.0,2200.0,177.0
2035.0,2205.0,170.0
2083.0,2254.0,171.0
2057.0,2304.0,247.0
2083.0,2297.0,214.0
2014.0,2371.0,357.0
1990.0,2280.0,290.0
2004.0,2333.0,329.0
1997.0,2244.0,247.0
2102.0,2260.0,158.0
2046.0,2232.0,186.0
2033.0,2277.0,244.0
2092.0,2186.0,94.0
1939.0,2327.0,388.0
1999.0,2207.0,208.0
2062.0,2162.0,100.0
2075.0,2323.0,248.0
2071.0,2284.0,213.0
1991.0,2285.0,294.0
2030.0,2209.0,179.0
1996.0,2259.0,263.0
2091.0,2312.0,221.0
2004.0,2283.0,279.0
1989.0,2214.0,225.0
2053.0,2204.0,151.0
2066.0,2280.0,214.0
2029.0,2199.0,170.0
2087.0,2241.0,154.0
2040.0,2306.0,266.0
2057.0,2220.0,163.0
2069.0,2248.0,179.0
2049.0,2282.0,233.0
2075.0,2222.0,147.0
2029.0,2306.0,277.0
2025.0,2223.0,198.0
2062.0,2234.0,172.0
2043.0,2191.0,148.0
2042.0,2327.0,285.0
2114.0,2216.0,102.0
1999.0,2239.0,240.0
2062.0,2230.0,168.0
2008.0,2260.0,252.0
2022.0,2209.0,187.0
