Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),20000
Histo t1,Histo t2,Difference
79.0,185.0,106.0
88.0,173.0,85.0
87.0,170.0,83.0
80.0,158.0,78.0
71.0,177.0,106.0
84.0,181.0,97.0
92.0,172.0,80.0
81.0,152.0,71.0
98.0,164.0,66.0
94.0,164.0,70.0
86.0,146.0,60.0
91.0,154.0,63.0
72.0,172.0,100.0
79.0,167.0,88.0
78.0,175.0,97.0
83.0,158.0,75.0
72.0,190.0,118.0
83.0,164.0,81.0
73.0,172.0,99.0
104.0,160.0,56.0
100.0,149.0,49.0
85.0,176.0,91.0
72.0,165.0,93.0
88.0,170.0,82.0
82.0,169.0,87.0
65.0,176.0,111.0
89.0,163.0,74.0
100.0,154.0,54.0
89.0,169.0,80.0
80.0,163.0,83.0
99.0,177.0,78.0
83.0,163.0,80.0
79.0,188.0,109.0
72.0,157.0,85.0
65.0,172.0,107.0
77.0,161.0,84.0
94.0,166.0,72.0
93.0,189.0,96.0
91.0,191.0,100.0
98.0,178.0,80.0
81.0,165.0,84.0
88.0,169.0,81.0
84.0,172.0,88.0
85.0,165.0,80.0
67.0,150.0,83.0
96.0,155.0,59.0
90.0,174.0,84.0
81.0,182.0,101.0
89.0,174.0,85.0
72.0,158.0,86.0
