Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),500
Histo t1,Histo t2,Difference
99.0,147.0,48.0
119.0,155.0,36.0
112.0,140.0,28.0
102.0,148.0,46.0
133.0,154.0,21.0
128.0,159.0,31.0
106.0,142.0,36.0
117.0,170.0,53.0
120.0,169.0,49.0
78.0,161.0,83.0
102.0,157.0,55.0
114.0,167.0,53.0
129.0,168.0,39.0
113.0,152.0,39.0
124.0,159.0,35.0
108.0,167.0,59.0
89.0,171.0,82.0
121.0,163.0,42.0
95.0,128.0,33.0
103.0,147.0,44.0
99.0,151.0,52.0
114.0,185.0,71.0
102.0,152.0,50.0
95.0,164.0,69.0
104.0,152.0,48.0
114.0,178.0,64.0
95.0,163.0,68.0
107.0,159.0,52.0
106.0,161.0,55.0
114.0,152.0,38.0
101.0,174.0,73.0
123.0,139.0,16.0
114.0,168.0,54.0
113.0,156.0,43.0
99.0,171.0,72.0
103.0,171.0,68.0
99.0,148.0,49.0
109.0,169.0,60.0
98.0,165.0,67.0
96.0,150.0,54.0
123.0,138.0,15.0
115.0,150.0,35.0
106.0,179.0,73.0
115.0,199.0,84.0
88.0,185.0,97.0
120.0,151.0,31.0
97.0,187.0,90.0
101.0,137.0,36.0
119.0,183.0,64.0
104.0,154.0,50.0
145.0,190.0,45.0
120.0,178.0,58.0
123.0,181.0,58.0
105.0,175.0,70.0
121.0,156.0,35.0
110.0,182.0,72.0
122.0,164.0,42.0
113.0,192.0,79.0
114.0,145.0,31.0
109.0,168.0,59.0
107.0,172.0,65.0
122.0,182.0,60.0
101.0,170.0,69.0
100.0,144.0,44.0
123.0,146.0,23.0
106.0,164.0,58.0
96.0,138.0,42.0
121.0,169.0,48.0
112.0,151.0,39.0
108.0,179.0,71.0
132.0,158.0,26.0
114.0,164.0,50.0
128.0,195.0,67.0
108.0,141.0,33.0
117.0,178.0,61.0
106.0,190.0,84.0
110.0,170.0,60.0
100.0,188.0,88.0
108.0,174.0,66.0
108.0,150.0,42.0
123.0,159.0,36.0
106.0,183.0,77.0
111.0,147.0,36.0
104.0,172.0,68.0
103.0,150.0,47.0
95.0,192.0,97.0
107.0,159.0,52.0
113.0,176.0,63.0
99.0,183.0,84.0
88.0,154.0,66.0
116.0,169.0,53.0
128.0,160.0,32.0
126.0,155.0,29.0
121.0,184.0,63.0
103.0,162.0,59.0
113.0,160.0,47.0
111.0,144.0,33.0
97.0,150.0,53.0
98.0,170.0,72.0
127.0,162.0,35.0
110.0,140.0,30.0
128.0,159.0,31.0
115.0,157.0,42.0
112.0,154.0,42.0
128.0,153.0,25.0
117.0,160.0,43.0
129.0,151.0,22.0
122.0,150.0,28.0
105.0,176.0,71.0
108.0,156.0,48.0
105.0,141.0,36.0
107.0,160.0,53.0
115.0,186.0,71.0
94.0,165.0,71.0
113.0,176.0,63.0
124.0,160.0,36.0
110.0,144.0,34.0
115.0,171.0,56.0
130.0,159.0,29.0
119.0,168.0,49.0
101.0,136.0,35.0
109.0,182.0,73.0
119.0,187.0,68.0
117.0,154.0,37.0
113.0,160.0,47.0
101.0,153.0,52.0
100.0,170.0,70.0
113.0,159.0,46.0
110.0,156.0,46.0
102.0,169.0,67.0
111.0,161.0,50.0
109.0,164.0,55.0
100.0,167.0,67.0
109.0,176.0,67.0
113.0,164.0,51.0
93.0,161.0,68.0
102.0,157.0,55.0
102.0,166.0,64.0
117.0,179.0,62.0
99.0,165.0,66.0
109.0,173.0,64.0
110.0,165.0,55.0
113.0,147.0,34.0
121.0,132.0,11.0
99.0,171.0,72.0
106.0,157.0,51.0
124.0,171.0,47.0
107.0,159.0,52.0
120.0,198.0,78.0
124.0,150.0,26.0
82.0,179.0,97.0
100.0,162.0,62.0
108.0,142.0,34.0
122.0,155.0,33.0
108.0,164.0,56.0
127.0,179.0,52.0
115.0,177.0,62.0
120.0,164.0,44.0
121.0,177.0,56.0
92.0,179.0,87.0
136.0,180.0,44.0
123.0,171.0,48.0
98.0,161.0,63.0
113.0,181.0,68.0
112.0,183.0,71.0
109.0,167.0,58.0
101.0,144.0,43.0
107.0,187.0,80.0
107.0,174.0,67.0
127.0,161.0,34.0
102.0,153.0,51.0
107.0,178.0,71.0
109.0,167.0,58.0
114.0,161.0,47.0
105.0,166.0,61.0
109.0,170.0,61.0
110.0,173.0,63.0
91.0,147.0,56.0
101.0,180.0,79.0
112.0,190.0,78.0
100.0,155.0,55.0
115.0,194.0,79.0
121.0,163.0,42.0
120.0,183.0,63.0
130.0,157.0,27.0
111.0,181.0,70.0
121.0,179.0,58.0
111.0,160.0,49.0
112.0,166.0,54.0
124.0,172.0,48.0
111.0,165.0,54.0
119.0,178.0,59.0
112.0,168.0,56.0
110.0,156.0,46.0
109.0,154.0,45.0
111.0,171.0,60.0
140.0,169.0,29.0
82.0,162.0,80.0
106.0,155.0,49.0
109.0,152.0,43.0
120.0,177.0,57.0
108.0,177.0,69.0
104.0,162.0,58.0
114.0,179.0,65.0
119.0,176.0,57.0
107.0,155.0,48.0
121.0,160.0,39.0
109.0,163.0,54.0
126.0,172.0,46.0
113.0,164.0,51.0
118.0,169.0,51.0
99.0,149.0,50.0
84.0,159.0,75.0
123.0,181.0,58.0
113.0,148.0,35.0
111.0,171.0,60.0
118.0,180.0,62.0
107.0,178.0,71.0
92.0,179.0,87.0
106.0,150.0,44.0
104.0,167.0,63.0
103.0,153.0,50.0
110.0,151.0,41.0
115.0,175.0,60.0
108.0,180.0,72.0
119.0,147.0,28.0
117.0,163.0,46.0
111.0,148.0,37.0
117.0,159.0,42.0
98.0,163.0,65.0
118.0,189.0,71.0
100.0,163.0,63.0
112.0,156.0,44.0
109.0,159.0,50.0
116.0,163.0,47.0
123.0,172.0,49.0
102.0,163.0,61.0
107.0,159.0,52.0
109.0,169.0,60.0
113.0,153.0,40.0
116.0,170.0,54.0
124.0,150.0,26.0
131.0,150.0,19.0
110.0,149.0,39.0
114.0,170.0,56.0
112.0,170.0,58.0
119.0,151.0,32.0
110.0,160.0,50.0
112.0,152.0,40.0
117.0,153.0,36.0
117.0,176.0,59.0
113.0,150.0,37.0
92.0,143.0,51.0
101.0,155.0,54.0
114.0,181.0,67.0
114.0,176.0,62.0
122.0,150.0,28.0
129.0,162.0,33.0
104.0,155.0,51.0
100.0,178.0,78.0
108.0,165.0,57.0
109.0,174.0,65.0
146.0,175.0,29.0
126.0,147.0,21.0
113.0,145.0,32.0
110.0,173.0,63.0
124.0,168.0,44.0
118.0,159.0,41.0
114.0,147.0,33.0
114.0,150.0,36.0
105.0,169.0,64.0
112.0,171.0,59.0
113.0,148.0,35.0
113.0,171.0,58.0
129.0,160.0,31.0
127.0,168.0,41.0
122.0,166.0,44.0
118.0,171.0,53.0
100.0,159.0,59.0
97.0,175.0,78.0
117.0,150.0,33.0
99.0,159.0,60.0
108.0,171.0,63.0
108.0,175.0,67.0
127.0,161.0,34.0
109.0,159.0,50.0
126.0,156.0,30.0
106.0,168.0,62.0
102.0,156.0,54.0
98.0,163.0,65.0
101.0,156.0,55.0
116.0,155.0,39.0
111.0,161.0,50.0
104.0,158.0,54.0
117.0,169.0,52.0
110.0,144.0,34.0
112.0,188.0,76.0
108.0,183.0,75.0
107.0,163.0,56.0
95.0,174.0,79.0
105.0,165.0,60.0
114.0,173.0,59.0
114.0,175.0,61.0
118.0,161.0,43.0
131.0,178.0,47.0
105.0,150.0,45.0
118.0,168.0,50.0
115.0,164.0,49.0
100.0,189.0,89.0
110.0,170.0,60.0
121.0,168.0,47.0
121.0,216.0,95.0
113.0,158.0,45.0
114.0,175.0,61.0
113.0,181.0,68.0
111.0,156.0,45.0
126.0,162.0,36.0
88.0,178.0,90.0
103.0,175.0,72.0
102.0,155.0,53.0
99.0,149.0,50.0
86.0,155.0,69.0
98.0,162.0,64.0
119.0,151.0,32.0
114.0,151.0,37.0
109.0,182.0,73.0
119.0,160.0,41.0
105.0,172.0,67.0
115.0,155.0,40.0
104.0,166.0,62.0
108.0,158.0,50.0
103.0,152.0,49.0
118.0,154.0,36.0
115.0,173.0,58.0
110.0,177.0,67.0
122.0,161.0,39.0
116.0,171.0,55.0
115.0,159.0,44.0
116.0,160.0,44.0
116.0,154.0,38.0
105.0,157.0,52.0
145.0,187.0,42.0
113.0,166.0,53.0
120.0,177.0,57.0
116.0,150.0,34.0
111.0,170.0,59.0
105.0,174.0,69.0
102.0,156.0,54.0
119.0,178.0,59.0
110.0,189.0,79.0
102.0,154.0,52.0
124.0,167.0,43.0
96.0,182.0,86.0
119.0,160.0,41.0
112.0,176.0,64.0
107.0,145.0,38.0
91.0,182.0,91.0
103.0,153.0,50.0
122.0,176.0,54.0
130.0,161.0,31.0
113.0,178.0,65.0
100.0,152.0,52.0
103.0,138.0,35.0
112.0,151.0,39.0
125.0,171.0,46.0
106.0,185.0,79.0
120.0,146.0,26.0
116.0,150.0,34.0
115.0,179.0,64.0
117.0,162.0,45.0
115.0,167.0,52.0
112.0,151.0,39.0
102.0,167.0,65.0
120.0,170.0,50.0
105.0,189.0,84.0
105.0,153.0,48.0
111.0,159.0,48.0
108.0,172.0,64.0
120.0,173.0,53.0
110.0,184.0,74.0
109.0,174.0,65.0
103.0,168.0,65.0
121.0,152.0,31.0
125.0,174.0,49.0
141.0,156.0,15.0
121.0,152.0,31.0
108.0,178.0,70.0
113.0,148.0,35.0
109.0,194.0,85.0
111.0,167.0,56.0
101.0,171.0,70.0
125.0,159.0,34.0
104.0,144.0,40.0
105.0,147.0,42.0
104.0,157.0,53.0
103.0,136.0,33.0
97.0,153.0,56.0
131.0,194.0,63.0
118.0,160.0,42.0
98.0,156.0,58.0
103.0,150.0,47.0
112.0,165.0,53.0
109.0,170.0,61.0
89.0,149.0,60.0
97.0,177.0,80.0
110.0,173.0,63.0
107.0,150.0,43.0
121.0,174.0,53.0
98.0,166.0,68.0
129.0,162.0,33.0
112.0,160.0,48.0
117.0,145.0,28.0
105.0,163.0,58.0
104.0,150.0,46.0
114.0,167.0,53.0
106.0,156.0,50.0
112.0,173.0,61.0
112.0,179.0,67.0
104.0,186.0,82.0
107.0,195.0,88.0
122.0,162.0,40.0
117.0,177.0,60.0
117.0,167.0,50.0
111.0,162.0,51.0
96.0,157.0,61.0
101.0,169.0,68.0
91.0,150.0,59.0
118.0,170.0,52.0
121.0,160.0,39.0
99.0,152.0,53.0
112.0,160.0,48.0
92.0,156.0,64.0
105.0,153.0,48.0
122.0,157.0,35.0
111.0,164.0,53.0
104.0,177.0,73.0
102.0,161.0,59.0
119.0,166.0,47.0
107.0,131.0,24.0
114.0,167.0,53.0
111.0,168.0,57.0
116.0,190.0,74.0
130.0,168.0,38.0
101.0,160.0,59.0
118.0,174.0,56.0
96.0,167.0,71.0
106.0,156.0,50.0
108.0,156.0,48.0
108.0,183.0,75.0
134.0,145.0,11.0
110.0,155.0,45.0
106.0,185.0,79.0
128.0,162.0,34.0
130.0,174.0,44.0
112.0,164.0,52.0
89.0,170.0,81.0
125.0,156.0,31.0
110.0,160.0,50.0
112.0,144.0,32.0
125.0,148.0,23.0
111.0,138.0,27.0
114.0,148.0,34.0
102.0,163.0,61.0
114.0,150.0,36.0
102.0,138.0,36.0
83.0,166.0,83.0
113.0,181.0,68.0
102.0,166.0,64.0
108.0,145.0,37.0
97.0,170.0,73.0
97.0,166.0,69.0
116.0,161.0,45.0
117.0,151.0,34.0
113.0,155.0,42.0
103.0,163.0,60.0
118.0,160.0,42.0
99.0,147.0,48.0
94.0,168.0,74.0
121.0,158.0,37.0
108.0,160.0,52.0
101.0,137.0,36.0
138.0,177.0,39.0
101.0,174.0,73.0
120.0,173.0,53.0
137.0,155.0,18.0
126.0,143.0,17.0
113.0,158.0,45.0
120.0,145.0,25.0
105.0,184.0,79.0
116.0,149.0,33.0
114.0,175.0,61.0
104.0,161.0,57.0
95.0,174.0,79.0
109.0,168.0,59.0
105.0,180.0,75.0
102.0,176.0,74.0
132.0,154.0,22.0
90.0,158.0,68.0
94.0,154.0,60.0
118.0,137.0,19.0
122.0,148.0,26.0
107.0,166.0,59.0
111.0,197.0,86.0
119.0,172.0,53.0
112.0,148.0,36.0
107.0,163.0,56.0
127.0,181.0,54.0
114.0,152.0,38.0
100.0,145.0,45.0
111.0,151.0,40.0
102.0,182.0,80.0
84.0,154.0,70.0
122.0,160.0,38.0
101.0,168.0,67.0
117.0,176.0,59.0
121.0,151.0,30.0
117.0,177.0,60.0
100.0,168.0,68.0
92.0,185.0,93.0
112.0,179.0,67.0
129.0,171.0,42.0
122.0,196.0,74.0
110.0,162.0,52.0
113.0,149.0,36.0
102.0,181.0,79.0
76.0,161.0,85.0
106.0,172.0,66.0
122.0,171.0,49.0
113.0,177.0,64.0
116.0,142.0,26.0
103.0,170.0,67.0
104.0,171.0,67.0
101.0,151.0,50.0
109.0,156.0,47.0
101.0,181.0,80.0
121.0,156.0,35.0
108.0,179.0,71.0
119.0,166.0,47.0
122.0,179.0,57.0
121.0,149.0,28.0
112.0,178.0,66.0
118.0,169.0,51.0
114.0,171.0,57.0
94.0,156.0,62.0
96.0,162.0,66.0
116.0,153.0,37.0
104.0,177.0,73.0
117.0,179.0,62.0
108.0,182.0,74.0
121.0,171.0,50.0
114.0,163.0,49.0
119.0,147.0,28.0
124.0,158.0,34.0
98.0,170.0,72.0
118.0,162.0,44.0
105.0,174.0,69.0
115.0,182.0,67.0
118.0,175.0,57.0
105.0,167.0,62.0
114.0,158.0,44.0
109.0,166.0,57.0
116.0,171.0,55.0
112.0,145.0,33.0
94.0,146.0,52.0
116.0,173.0,57.0
121.0,170.0,49.0
98.0,161.0,63.0
111.0,146.0,35.0
96.0,154.0,58.0
113.0,141.0,28.0
128.0,157.0,29.0
98.0,162.0,64.0
122.0,156.0,34.0
112.0,166.0,54.0
124.0,188.0,64.0
121.0,156.0,35.0
130.0,167.0,37.0
114.0,168.0,54.0
130.0,165.0,35.0
95.0,153.0,58.0
122.0,172.0,50.0
115.0,171.0,56.0
105.0,152.0,47.0
113.0,160.0,47.0
114.0,150.0,36.0
78.0,158.0,80.0
128.0,154.0,26.0
104.0,154.0,50.0
142.0,169.0,27.0
136.0,151.0,15.0
115.0,165.0,50.0
97.0,129.0,32.0
92.0,160.0,68.0
97.0,170.0,73.0
97.0,156.0,59.0
113.0,179.0,66.0
155.0,164.0,9.0
115.0,165.0,50.0
101.0,149.0,48.0
96.0,165.0,69.0
101.0,152.0,51.0
115.0,152.0,37.0
100.0,127.0,27.0
98.0,153.0,55.0
120.0,174.0,54.0
103.0,146.0,43.0
96.0,176.0,80.0
114.0,168.0,54.0
106.0,138.0,32.0
105.0,158.0,53.0
104.0,170.0,66.0
106.0,149.0,43.0
97.0,121.0,24.0
116.0,145.0,29.0
118.0,156.0,38.0
106.0,157.0,51.0
111.0,162.0,51.0
111.0,181.0,70.0
106.0,160.0,54.0
117.0,154.0,37.0
108.0,161.0,53.0
94.0,154.0,60.0
126.0,161.0,35.0
122.0,152.0,30.0
