Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),20000
Histo t1,Histo t2,Difference
38.0,26.0,12.0
24.0,25.0,1.0
25.0,18.0,7.0
28.0,30.0,2.0
33.0,27.0,6.0
20.0,26.0,6.0
30.0,32.0,2.0
24.0,24.0,0.0
20.0,18.0,2.0
34.0,39.0,5.0
26.0,31.0,5.0
29.0,26.0,3.0
27.0,27.0,0.0
22.0,27.0,5.0
41.0,39.0,2.0
32.0,17.0,15.0
32.0,24.0,8.0
26.0,33.0,7.0
20.0,30.0,10.0
48.0,52.0,4.0
45.0,45.0,0.0
35.0,25.0,10.0
28.0,27.0,1.0
32.0,21.0,11.0
27.0,26.0,1.0
38.0,28.0,10.0
34.0,28.0,6.0
34.0,29.0,5.0
22.0,26.0,4.0
21.0,28.0,7.0
24.0,24.0,0.0
17.0,22.0,5.0
21.0,15.0,6.0
29.0,25.0,4.0
28.0,25.0,3.0
26.0,21.0,5.0
22.0,25.0,3.0
28.0,26.0,2.0
27.0,31.0,4.0
22.0,21.0,1.0
25.0,32.0,7.0
36.0,20.0,16.0
27.0,20.0,7.0
26.0,31.0,5.0
29.0,29.0,0.0
20.0,28.0,8.0
21.0,22.0,1.0
25.0,25.0,0.0
38.0,26.0,12.0
21.0,30.0,9.0
