Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),20000
Histo t1,Histo t2,Difference
446.0,492.0,46.0
479.0,436.0,43.0
470.0,475.0,5.0
443.0,508.0,65.0
458.0,491.0,33.0
506.0,464.0,42.0
468.0,484.0,16.0
462.0,486.0,24.0
440.0,475.0,35.0
414.0,452.0,38.0
451.0,452.0,1.0
486.0,445.0,41.0
475.0,492.0,17.0
484.0,502.0,18.0
466.0,469.0,3.0
460.0,460.0,0.0
462.0,465.0,3.0
511.0,486.0,25.0
456.0,486.0,30.0
1165.0,1135.0,30.0
1153.0,1205.0,52.0
476.0,471.0,5.0
493.0,488.0,5.0
476.0,475.0,1.0
497.0,436.0,61.0
449.0,471.0,22.0
462.0,516.0,54.0
459.0,456.0,3.0
473.0,500.0,27.0
493.0,523.0,30.0
483.0,415.0,68.0
513.0,492.0,21.0
433.0,506.0,73.0
510.0,470.0,40.0
462.0,454.0,8.0
467.0,474.0,7.0
514.0,494.0,20.0
444.0,457.0,13.0
509.0,469.0,40.0
467.0,463.0,4.0
485.0,508.0,23.0
455.0,480.0,25.0
480.0,467.0,13.0
419.0,504.0,85.0
482.0,489.0,7.0
473.0,480.0,7.0
436.0,455.0,19.0
487.0,540.0,53.0
467.0,473.0,6.0
505.0,473.0,32.0
