Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),20000
Histo t1,Histo t2,Difference
7816.0,7862.0,46.0
7705.0,8033.0,328.0
7494.0,7858.0,364.0
7627.0,7814.0,187.0
7519.0,7931.0,412.0
7533.0,7686.0,153.0
7610.0,7680.0,70.0
7738.0,8124.0,386.0
7634.0,7816.0,182.0
7563.0,7838.0,275.0
7674.0,7959.0,285.0
7589.0,7736.0,147.0
7581.0,7612.0,31.0
7768.0,7809.0,41.0
7548.0,7946.0,398.0
7601.0,7708.0,107.0
7523.0,7793.0,270.0
7066.0,7145.0,79.0
6761.0,6164.0,597.0
6621.0,6631.0,10.0
7648.0,7784.0,136.0
7770.0,7771.0,1.0
7620.0,7624.0,4.0
7668.0,7893.0,225.0
7729.0,7859.0,130.0
7520.0,7723.0,203.0
7625.0,7738.0,113.0
7873.0,8051.0,178.0
7530.0,7668.0,138.0
7594.0,7811.0,217.0
7788.0,8167.0,379.0
7687.0,7861.0,174.0
7703.0,7865.0,162.0
7714.0,7949.0,235.0
7850.0,7898.0,48.0
7535.0,7706.0,171.0
7670.0,7819.0,149.0
7758.0,7997.0,239.0
7522.0,7668.0,146.0
7704.0,7946.0,242.0
7973.0,7945.0,28.0
7461.0,7725.0,264.0
7745.0,7820.0,75.0
7674.0,8056.0,382.0
7523.0,7812.0,289.0
7702.0,7850.0,148.0
7733.0,8025.0,292.0
7821.0,7858.0,37.0
7663.0,7685.0,22.0
7728.0,8028.0,300.0
