Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),10000
Histo t1,Histo t2,Difference
3839.0,5124.0,1285.0
3952.0,5030.0,1078.0
3992.0,5216.0,1224.0
3823.0,5205.0,1382.0
3841.0,5144.0,1303.0
3903.0,4935.0,1032.0
3865.0,5095.0,1230.0
3917.0,5042.0,1125.0
3805.0,5137.0,1332.0
3831.0,4975.0,1144.0
3878.0,5126.0,1248.0
3858.0,5027.0,1169.0
3955.0,4998.0,1043.0
3766.0,4856.0,1090.0
3766.0,5097.0,1331.0
3858.0,5069.0,1211.0
3814.0,5146.0,1332.0
3866.0,4998.0,1132.0
3899.0,4912.0,1013.0
3821.0,5040.0,1219.0
3856.0,5055.0,1199.0
3830.0,5107.0,1277.0
3844.0,5176.0,1332.0
3773.0,5115.0,1342.0
3912.0,5038.0,1126.0
3738.0,4945.0,1207.0
3778.0,5151.0,1373.0
3883.0,5149.0,1266.0
3773.0,5015.0,1242.0
3973.0,5059.0,1086.0
3941.0,5008.0,1067.0
3776.0,5108.0,1332.0
3878.0,5017.0,1139.0
3737.0,4915.0,1178.0
3712.0,4654.0,942.0
4020.0,4030.0,10.0
6819.0,6958.0,139.0
7693.0,7910.0,217.0
5118.0,4824.0,294.0
3616.0,4106.0,490.0
3807.0,4874.0,1067.0
3790.0,5041.0,1251.0
3828.0,5026.0,1198.0
3937.0,5069.0,1132.0
3806.0,4989.0,1183.0
3805.0,5186.0,1381.0
3906.0,5108.0,1202.0
3866.0,5203.0,1337.0
3901.0,5098.0,1197.0
3909.0,5144.0,1235.0
