Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),20000
Histo t1,Histo t2,Difference
252.0,281.0,29.0
261.0,322.0,61.0
251.0,293.0,42.0
286.0,284.0,2.0
262.0,260.0,2.0
264.0,290.0,26.0
239.0,319.0,80.0
242.0,300.0,58.0
265.0,272.0,7.0
273.0,277.0,4.0
269.0,285.0,16.0
276.0,283.0,7.0
246.0,280.0,34.0
253.0,256.0,3.0
270.0,279.0,9.0
267.0,257.0,10.0
236.0,291.0,55.0
359.0,532.0,173.0
2357.0,3405.0,1048.0
699.0,922.0,223.0
271.0,273.0,2.0
259.0,285.0,26.0
272.0,331.0,59.0
285.0,265.0,20.0
255.0,288.0,33.0
274.0,303.0,29.0
257.0,282.0,25.0
275.0,280.0,5.0
289.0,309.0,20.0
294.0,296.0,2.0
228.0,294.0,66.0
275.0,327.0,52.0
277.0,283.0,6.0
301.0,291.0,10.0
281.0,266.0,15.0
300.0,341.0,41.0
275.0,289.0,14.0
279.0,283.0,4.0
295.0,251.0,44.0
245.0,281.0,36.0
259.0,325.0,66.0
263.0,305.0,42.0
292.0,340.0,48.0
239.0,280.0,41.0
271.0,311.0,40.0
288.0,272.0,16.0
297.0,269.0,28.0
281.0,303.0,22.0
274.0,336.0,62.0
273.0,279.0,6.0
