Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),20000
Histo t1,Histo t2,Difference
1229.0,1005.0,224.0
1231.0,1119.0,112.0
1119.0,1038.0,81.0
1154.0,1083.0,71.0
1182.0,1106.0,76.0
1165.0,1141.0,24.0
1115.0,1098.0,17.0
1184.0,1085.0,99.0
1153.0,1119.0,34.0
1190.0,1034.0,156.0
1166.0,1079.0,87.0
1244.0,1107.0,137.0
1171.0,1110.0,61.0
1157.0,1126.0,31.0
1171.0,1070.0,101.0
1162.0,993.0,169.0
1208.0,1040.0,168.0
1177.0,1103.0,74.0
1627.0,1545.0,82.0
11998.0,11106.0,892.0
10501.0,9865.0,636.0
1338.0,1286.0,52.0
1193.0,1163.0,30.0
1155.0,1120.0,35.0
1108.0,1082.0,26.0
1130.0,1140.0,10.0
1111.0,990.0,121.0
1135.0,1093.0,42.0
1159.0,1124.0,35.0
1138.0,1032.0,106.0
1140.0,1043.0,97.0
1192.0,1112.0,80.0
1176.0,1010.0,166.0
1160.0,1046.0,114.0
1140.0,1070.0,70.0
1241.0,1046.0,195.0
1110.0,1063.0,47.0
1157.0,1030.0,127.0
1169.0,1110.0,59.0
1166.0,1015.0,151.0
1193.0,1048.0,145.0
1143.0,1073.0,70.0
1118.0,1049.0,69.0
1162.0,1030.0,132.0
1166.0,1071.0,95.0
1158.0,1061.0,97.0
1158.0,1026.0,132.0
1121.0,1055.0,66.0
1075.0,1044.0,31.0
1141.0,1012.0,129.0
