Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),20000
Histo t1,Histo t2,Difference
6936.0,6881.0,55.0
7003.0,6876.0,127.0
7006.0,6660.0,346.0
7212.0,6879.0,333.0
7146.0,6963.0,183.0
6904.0,6846.0,58.0
6933.0,6791.0,142.0
6916.0,6711.0,205.0
7078.0,6804.0,274.0
6910.0,6862.0,48.0
7136.0,6903.0,233.0
7031.0,6858.0,173.0
6996.0,6704.0,292.0
6944.0,6892.0,52.0
7024.0,6740.0,284.0
6890.0,6698.0,192.0
6883.0,6695.0,188.0
6469.0,6761.0,292.0
10464.0,14966.0,4502.0
6799.0,7645.0,846.0
6874.0,6625.0,249.0
7170.0,6690.0,480.0
7104.0,6811.0,293.0
7078.0,6794.0,284.0
7079.0,6944.0,135.0
7105.0,6908.0,197.0
7133.0,6922.0,211.0
7194.0,6786.0,408.0
7191.0,7013.0,178.0
6935.0,7033.0,98.0
7196.0,6986.0,210.0
7129.0,7016.0,113.0
7008.0,6827.0,181.0
7042.0,6698.0,344.0
7138.0,6772.0,366.0
7096.0,6910.0,186.0
7064.0,6662.0,402.0
7068.0,6820.0,248.0
7110.0,6758.0,352.0
7219.0,6646.0,573.0
7209.0,7026.0,183.0
7105.0,6906.0,199.0
7116.0,6823.0,293.0
7077.0,6739.0,338.0
7040.0,6770.0,270.0
6908.0,6893.0,15.0
6993.0,6868.0,125.0
7043.0,6938.0,105.0
6956.0,6814.0,142.0
7107.0,6935.0,172.0
