Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),20000
Histo t1,Histo t2,Difference
763.0,643.0,120.0
774.0,584.0,190.0
734.0,633.0,101.0
696.0,712.0,16.0
764.0,621.0,143.0
726.0,633.0,93.0
742.0,604.0,138.0
710.0,655.0,55.0
760.0,674.0,86.0
740.0,641.0,99.0
767.0,630.0,137.0
697.0,667.0,30.0
728.0,667.0,61.0
730.0,647.0,83.0
744.0,668.0,76.0
775.0,677.0,98.0
766.0,573.0,193.0
729.0,660.0,69.0
802.0,656.0,146.0
731.0,646.0,85.0
710.0,616.0,94.0
762.0,647.0,115.0
707.0,620.0,87.0
775.0,618.0,157.0
817.0,623.0,194.0
812.0,593.0,219.0
747.0,636.0,111.0
731.0,599.0,132.0
769.0,662.0,107.0
733.0,630.0,103.0
745.0,632.0,113.0
776.0,577.0,199.0
758.0,645.0,113.0
755.0,589.0,166.0
792.0,666.0,126.0
753.0,659.0,94.0
746.0,659.0,87.0
750.0,655.0,95.0
802.0,669.0,133.0
756.0,623.0,133.0
726.0,630.0,96.0
773.0,649.0,124.0
723.0,587.0,136.0
728.0,633.0,95.0
766.0,671.0,95.0
734.0,654.0,80.0
760.0,664.0,96.0
731.0,679.0,52.0
731.0,661.0,70.0
793.0,653.0,140.0
