Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),1000
Histo t1,Histo t2,Difference
365.0,465.0,100.0
354.0,501.0,147.0
367.0,495.0,128.0
338.0,496.0,158.0
351.0,476.0,125.0
328.0,479.0,151.0
336.0,468.0,132.0
356.0,513.0,157.0
351.0,491.0,140.0
341.0,507.0,166.0
327.0,489.0,162.0
354.0,496.0,142.0
381.0,511.0,130.0
344.0,480.0,136.0
327.0,453.0,126.0
353.0,455.0,102.0
361.0,449.0,88.0
316.0,462.0,146.0
347.0,490.0,143.0
336.0,485.0,149.0
340.0,491.0,151.0
321.0,471.0,150.0
346.0,499.0,153.0
352.0,491.0,139.0
393.0,469.0,76.0
381.0,431.0,50.0
355.0,491.0,136.0
344.0,457.0,113.0
375.0,492.0,117.0
372.0,483.0,111.0
341.0,461.0,120.0
369.0,509.0,140.0
336.0,467.0,131.0
317.0,498.0,181.0
337.0,476.0,139.0
386.0,448.0,62.0
368.0,498.0,130.0
354.0,540.0,186.0
348.0,465.0,117.0
367.0,475.0,108.0
358.0,504.0,146.0
332.0,516.0,184.0
361.0,467.0,106.0
335.0,457.0,122.0
315.0,480.0,165.0
362.0,500.0,138.0
321.0,452.0,131.0
358.0,495.0,137.0
360.0,491.0,131.0
364.0,478.0,114.0
310.0,463.0,153.0
336.0,488.0,152.0
362.0,465.0,103.0
348.0,432.0,84.0
342.0,440.0,98.0
319.0,483.0,164.0
362.0,471.0,109.0
399.0,490.0,91.0
344.0,490.0,146.0
387.0,496.0,109.0
352.0,492.0,140.0
316.0,494.0,178.0
303.0,508.0,205.0
342.0,492.0,150.0
338.0,508.0,170.0
341.0,486.0,145.0
353.0,483.0,130.0
375.0,501.0,126.0
364.0,500.0,136.0
373.0,523.0,150.0
371.0,476.0,105.0
338.0,488.0,150.0
349.0,471.0,122.0
337.0,470.0,133.0
349.0,461.0,112.0
352.0,517.0,165.0
360.0,494.0,134.0
348.0,495.0,147.0
370.0,516.0,146.0
354.0,504.0,150.0
366.0,460.0,94.0
349.0,442.0,93.0
362.0,516.0,154.0
371.0,480.0,109.0
388.0,488.0,100.0
327.0,471.0,144.0
378.0,465.0,87.0
343.0,519.0,176.0
330.0,503.0,173.0
338.0,439.0,101.0
341.0,476.0,135.0
366.0,477.0,111.0
337.0,465.0,128.0
350.0,494.0,144.0
355.0,556.0,201.0
346.0,493.0,147.0
342.0,460.0,118.0
346.0,460.0,114.0
352.0,483.0,131.0
353.0,448.0,95.0
360.0,468.0,108.0
367.0,502.0,135.0
327.0,491.0,164.0
380.0,512.0,132.0
343.0,459.0,116.0
350.0,484.0,134.0
354.0,450.0,96.0
339.0,498.0,159.0
333.0,464.0,131.0
337.0,438.0,101.0
366.0,479.0,113.0
322.0,500.0,178.0
327.0,510.0,183.0
357.0,481.0,124.0
355.0,479.0,124.0
334.0,491.0,157.0
328.0,496.0,168.0
357.0,491.0,134.0
335.0,527.0,192.0
367.0,495.0,128.0
347.0,434.0,87.0
350.0,502.0,152.0
379.0,503.0,124.0
341.0,459.0,118.0
343.0,473.0,130.0
355.0,524.0,169.0
363.0,496.0,133.0
319.0,485.0,166.0
340.0,478.0,138.0
357.0,483.0,126.0
322.0,487.0,165.0
367.0,471.0,104.0
352.0,532.0,180.0
356.0,478.0,122.0
358.0,503.0,145.0
357.0,474.0,117.0
341.0,506.0,165.0
365.0,421.0,56.0
338.0,475.0,137.0
338.0,495.0,157.0
399.0,485.0,86.0
339.0,462.0,123.0
341.0,460.0,119.0
321.0,482.0,161.0
385.0,481.0,96.0
