Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),20000
Histo t1,Histo t2,Difference
11217.0,10489.0,728.0
11160.0,10408.0,752.0
11157.0,10476.0,681.0
11209.0,10281.0,928.0
11096.0,10522.0,574.0
11373.0,10304.0,1069.0
11281.0,10332.0,949.0
11091.0,10375.0,716.0
11296.0,10548.0,748.0
11053.0,10422.0,631.0
11299.0,10395.0,904.0
11134.0,10465.0,669.0
11204.0,10414.0,790.0
11109.0,10388.0,721.0
11291.0,10524.0,767.0
11134.0,10602.0,532.0
11395.0,10370.0,1025.0
11353.0,10585.0,768.0
15527.0,14320.0,1207.0
80208.0,72339.0,7869.0
71436.0,65217.0,6219.0
13640.0,12670.0,970.0
11317.0,10573.0,744.0
10866.0,10129.0,737.0
10760.0,9983.0,777.0
11133.0,10507.0,626.0
10823.0,10069.0,754.0
10726.0,10055.0,671.0
11057.0,10309.0,748.0
10687.0,9975.0,712.0
10915.0,10047.0,868.0
11023.0,10055.0,968.0
10754.0,10363.0,391.0
10581.0,9993.0,588.0
11150.0,10281.0,869.0
10814.0,9879.0,935.0
10944.0,10029.0,915.0
11196.0,10144.0,1052.0
11025.0,10241.0,784.0
10979.0,9918.0,1061.0
10770.0,10071.0,699.0
10972.0,10249.0,723.0
10697.0,10036.0,661.0
10922.0,10141.0,781.0
10876.0,10217.0,659.0
10791.0,9980.0,811.0
10784.0,9984.0,800.0
10988.0,10162.0,826.0
10924.0,10272.0,652.0
10915.0,10139.0,776.0
