Histogram,T1:,20.2,T2:,19.1,Bin Width: (ps),10000
Histo t1,Histo t2,Difference
4144.0,4978.0,834.0
4181.0,4932.0,751.0
4009.0,4930.0,921.0
4076.0,4965.0,889.0
4247.0,5054.0,807.0
4137.0,4884.0,747.0
4188.0,4990.0,802.0
4088.0,4959.0,871.0
4138.0,5020.0,882.0
4229.0,5131.0,902.0
4046.0,4985.0,939.0
4070.0,4942.0,872.0
4174.0,5024.0,850.0
4219.0,5044.0,825.0
4114.0,5007.0,893.0
4180.0,4974.0,794.0
4173.0,4929.0,756.0
4055.0,4933.0,878.0
4090.0,4967.0,877.0
4171.0,5041.0,870.0
4134.0,5015.0,881.0
4224.0,5018.0,794.0
4159.0,5014.0,855.0
4126.0,5176.0,1050.0
4255.0,4977.0,722.0
4093.0,4984.0,891.0
4151.0,4962.0,811.0
4087.0,5062.0,975.0
4154.0,5023.0,869.0
4186.0,5087.0,901.0
4163.0,5127.0,964.0
4156.0,5120.0,964.0
4176.0,4988.0,812.0
4200.0,4920.0,720.0
3769.0,4604.0,835.0
3682.0,3469.0,213.0
5712.0,5728.0,16.0
6421.0,6782.0,361.0
4305.0,4227.0,78.0
3604.0,3949.0,345.0
3965.0,4896.0,931.0
4031.0,4976.0,945.0
4143.0,4855.0,712.0
4236.0,5117.0,881.0
4090.0,4861.0,771.0
4223.0,5191.0,968.0
4066.0,5096.0,1030.0
4026.0,5035.0,1009.0
4137.0,5163.0,1026.0
4115.0,4991.0,876.0
